date,time,DOY,TimeStamp,CH4
4/14/2017,21:30,104.895,4/14/2017 21:30,NaN
4/14/2017,22:00,104.916,4/14/2017 22:00,28.39915499
4/14/2017,22:30,104.937,4/14/2017 22:30,4.874002007
4/14/2017,23:00,104.958,4/14/2017 23:00,NaN
4/14/2017,23:30,104.979,4/14/2017 23:30,6.898844545
4/15/2017,0:00,105,4/15/2017 0:00,14.66761416
4/15/2017,0:30,105.02,4/15/2017 0:30,17.37588502
4/15/2017,1:00,105.041,4/15/2017 1:00,6.516421265
4/15/2017,1:30,105.062,4/15/2017 1:30,NaN
4/15/2017,2:00,105.083,4/15/2017 2:00,21.78182208
4/15/2017,2:30,105.104,4/15/2017 2:30,6.310724253
4/15/2017,3:00,105.124,4/15/2017 3:00,-0.510301917
4/15/2017,3:30,105.145,4/15/2017 3:30,NaN
4/15/2017,4:00,105.166,4/15/2017 4:00,NaN
4/15/2017,4:30,105.187,4/15/2017 4:30,-15.10286866
4/15/2017,5:00,105.208,4/15/2017 5:00,6.687412322
4/15/2017,5:30,105.229,4/15/2017 5:30,-11.92389309
4/15/2017,6:00,105.249,4/15/2017 6:00,37.28256977
4/15/2017,6:30,105.27,4/15/2017 6:30,14.64526544
4/15/2017,7:00,105.291,4/15/2017 7:00,NaN
4/15/2017,7:30,105.312,4/15/2017 7:30,NaN
4/15/2017,8:00,105.333,4/15/2017 8:00,6.560606716
4/15/2017,8:30,105.354,4/15/2017 8:30,1.50997735
4/15/2017,9:00,105.374,4/15/2017 9:00,NaN
4/15/2017,9:30,105.395,4/15/2017 9:30,20.38156618
4/15/2017,10:00,105.416,4/15/2017 10:00,NaN
4/15/2017,10:30,105.437,4/15/2017 10:30,NaN
4/15/2017,11:00,105.458,4/15/2017 11:00,11.73843351
4/15/2017,11:30,105.479,4/15/2017 11:30,34.71946933
4/15/2017,12:00,105.499,4/15/2017 12:00,23.00941841
4/15/2017,12:30,105.52,4/15/2017 12:30,NaN
4/15/2017,13:00,105.541,4/15/2017 13:00,NaN
4/15/2017,13:30,105.562,4/15/2017 13:30,NaN
4/15/2017,14:00,105.583,4/15/2017 14:00,NaN
4/15/2017,14:30,105.604,4/15/2017 14:30,NaN
4/15/2017,15:00,105.624,4/15/2017 15:00,NaN
4/15/2017,15:30,105.645,4/15/2017 15:30,NaN
4/15/2017,16:00,105.666,4/15/2017 16:00,NaN
4/15/2017,16:30,105.687,4/15/2017 16:30,NaN
4/15/2017,17:00,105.708,4/15/2017 17:00,NaN
4/15/2017,17:30,105.729,4/15/2017 17:30,NaN
